instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,Spring,2011,1,0,6,0,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985
2,2011-01-02,Spring,2011,1,0,0,0,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801
3,2011-01-03,Spring,2011,1,0,1,1,Clear,8.05,9.47,43.73,16.64,120,1229,1349
4,2011-01-04,Spring,2011,1,0,2,1,Clear,8.2,10.61,59.04,10.74,108,1454,1562
5,2011-01-05,Spring,2011,1,0,3,1,Clear,9.31,11.46,43.7,12.52,82,1518,1600
6,2011-01-06,Spring,2011,1,0,4,1,Clear,8.38,11.66,51.83,6.0,88,1518,1606
7,2011-01-07,Spring,2011,1,0,5,1,Misty/Cloudy,8.06,10.44,49.87,11.3,148,1362,1510
8,2011-01-08,Spring,2011,1,0,6,0,Misty/Cloudy,6.76,8.11,53.58,17.88,68,891,959
9,2011-01-09,Spring,2011,1,0,0,0,Clear,5.67,5.81,43.42,24.25,54,768,822
10,2011-01-10,Spring,2011,1,0,1,1,Clear,6.18,7.54,48.29,14.96,41,1280,1321
11,2011-01-11,Spring,2011,1,0,2,1,Misty/Cloudy,6.93,9.57,68.64,8.18,43,1220,1263
12,2011-01-12,Spring,2011,1,0,3,1,Clear,7.08,8.02,59.95,20.41,25,1137,1162
13,2011-01-13,Spring,2011,1,0,4,1,Clear,6.76,7.54,47.04,20.17,38,1368,1406
14,2011-01-14,Spring,2011,1,0,5,1,Clear,6.6,9.42,53.78,8.48,54,1367,1421
15,2011-01-15,Spring,2011,1,0,6,0,Misty/Cloudy,9.57,12.41,49.88,10.58,222,1026,1248
16,2011-01-16,Spring,2011,1,0,0,0,Clear,9.5,11.71,48.38,12.63,251,953,1204
17,2011-01-17,Spring,2011,1,1,1,0,Misty/Cloudy,7.21,8.84,53.75,13.0,117,883,1000
18,2011-01-18,Spring,2011,1,0,2,1,Misty/Cloudy,8.88,11.62,86.17,9.83,9,674,683
19,2011-01-19,Spring,2011,1,0,3,1,Misty/Cloudy,11.98,14.92,74.17,13.96,78,1572,1650
20,2011-01-20,Spring,2011,1,0,4,1,Misty/Cloudy,10.73,12.75,53.83,13.13,83,1844,1927
21,2011-01-21,Spring,2011,1,0,5,1,Clear,7.28,7.89,45.71,23.67,75,1468,1543
22,2011-01-22,Spring,2011,1,0,6,0,Clear,2.42,3.95,40.0,11.52,93,888,981
23,2011-01-23,Spring,2011,1,0,0,0,Clear,3.96,4.94,43.65,16.52,150,836,986
24,2011-01-24,Spring,2011,1,0,1,1,Clear,3.99,5.9,49.17,10.61,86,1330,1416
25,2011-01-25,Spring,2011,1,0,2,1,Misty/Cloudy,9.16,11.73,61.7,8.7,186,1799,1985
26,2011-01-26,Spring,2011,1,0,3,1,Light Rain/Snow,8.92,10.18,86.25,19.69,34,472,506
27,2011-01-27,Spring,2011,1,0,4,1,Clear,8.0,10.98,68.75,7.63,15,416,431
28,2011-01-28,Spring,2011,1,0,5,1,Misty/Cloudy,8.34,11.17,79.3,8.26,38,1129,1167
29,2011-01-29,Spring,2011,1,0,6,0,Clear,8.06,10.61,65.17,9.74,123,975,1098
30,2011-01-30,Spring,2011,1,0,0,0,Clear,8.88,12.52,72.22,4.96,140,956,1096
31,2011-01-31,Spring,2011,1,0,1,1,Misty/Cloudy,7.41,9.31,60.38,12.54,42,1459,1501
32,2011-02-01,Spring,2011,2,0,2,1,Misty/Cloudy,7.88,11.73,82.96,3.57,47,1313,1360
33,2011-02-02,Spring,2011,2,0,3,1,Misty/Cloudy,10.66,12.72,77.54,17.71,72,1454,1526
34,2011-02-03,Spring,2011,2,0,4,1,Clear,7.67,8.89,43.78,18.61,61,1489,1550
35,2011-02-04,Spring,2011,2,0,5,1,Misty/Cloudy,8.66,11.43,58.52,8.57,88,1620,1708
36,2011-02-05,Spring,2011,2,0,6,0,Misty/Cloudy,9.57,12.15,92.92,10.79,100,905,1005
37,2011-02-06,Spring,2011,2,0,0,0,Clear,11.72,14.58,56.83,9.5,354,1269,1623
38,2011-02-07,Spring,2011,2,0,1,1,Clear,11.14,15.18,73.83,3.04,120,1592,1712
39,2011-02-08,Spring,2011,2,0,2,1,Clear,9.05,9.91,53.79,24.25,64,1466,1530
40,2011-02-09,Spring,2011,2,0,3,1,Misty/Cloudy,5.53,7.21,49.48,12.65,53,1552,1605
41,2011-02-10,Spring,2011,2,0,4,1,Clear,5.92,7.48,43.74,14.87,47,1491,1538
42,2011-02-11,Spring,2011,2,0,5,1,Clear,7.75,10.68,50.64,7.27,149,1597,1746
43,2011-02-12,Spring,2011,2,0,6,0,Clear,9.12,11.65,54.42,13.63,288,1184,1472
44,2011-02-13,Spring,2011,2,0,0,0,Clear,12.98,16.21,45.74,17.48,397,1192,1589
46,2011-02-15,Spring,2011,2,0,2,1,Clear,10.91,12.71,31.43,19.52,140,1675,1815
47,2011-02-16,Spring,2011,2,0,3,1,Clear,13.05,15.81,42.35,16.87,218,1897,2115
48,2011-02-17,Spring,2011,2,0,4,1,Clear,17.87,21.43,50.5,15.42,259,2216,2475
49,2011-02-18,Spring,2011,2,0,5,1,Clear,21.39,25.6,51.67,17.75,579,2348,2927
51,2011-02-20,Spring,2011,2,0,0,0,Clear,11.69,13.87,40.78,14.96,639,1173,1812
52,2011-02-21,Spring,2011,2,1,1,0,Misty/Cloudy,12.44,14.2,60.5,20.63,195,912,1107
53,2011-02-22,Spring,2011,2,0,2,1,Clear,7.47,9.3,57.78,13.11,74,1376,1450
54,2011-02-23,Spring,2011,2,0,3,1,Clear,9.09,12.29,42.3,6.31,139,1778,1917
55,2011-02-24,Spring,2011,2,0,4,1,Misty/Cloudy,12.12,14.46,69.74,16.78,100,1707,1807
56,2011-02-25,Spring,2011,2,0,5,1,Misty/Cloudy,14.94,17.52,71.22,23.22,120,1341,1461
57,2011-02-26,Spring,2011,2,0,6,0,Clear,11.58,14.11,53.79,12.5,424,1545,1969
58,2011-02-27,Spring,2011,2,0,0,0,Clear,14.08,17.56,68.0,8.39,694,1708,2402
59,2011-02-28,Spring,2011,2,0,1,1,Misty/Cloudy,16.7,20.01,87.64,19.41,81,1365,1446
60,2011-03-01,Spring,2011,3,0,2,1,Clear,10.93,13.19,53.5,14.5,137,1714,1851
61,2011-03-02,Spring,2011,3,0,3,1,Clear,13.74,16.0,44.96,20.62,231,1903,2134
62,2011-03-03,Spring,2011,3,0,4,1,Clear,8.13,10.01,31.83,15.13,123,1562,1685
63,2011-03-04,Spring,2011,3,0,5,1,Misty/Cloudy,10.73,12.78,61.04,13.62,214,1730,1944
64,2011-03-05,Spring,2011,3,0,6,0,Misty/Cloudy,15.75,18.94,78.92,16.88,640,1437,2077
65,2011-03-06,Spring,2011,3,0,0,0,Misty/Cloudy,15.44,18.31,94.83,23.0,114,491,605
66,2011-03-07,Spring,2011,3,0,1,1,Clear,10.73,11.92,55.13,22.87,244,1628,1872
67,2011-03-08,Spring,2011,3,0,2,1,Clear,11.99,15.12,42.08,8.08,316,1817,2133
68,2011-03-09,Spring,2011,3,0,3,1,Misty/Cloudy,12.13,14.33,77.54,14.75,191,1700,1891
70,2011-03-11,Spring,2011,3,0,5,1,Misty/Cloudy,12.98,15.25,64.96,15.61,247,1730,1977
71,2011-03-12,Spring,2011,3,0,6,0,Clear,13.5,16.29,59.46,14.79,724,1408,2132
72,2011-03-13,Spring,2011,3,0,0,0,Clear,15.76,19.0,52.74,18.13,982,1435,2417
73,2011-03-14,Spring,2011,3,0,1,1,Clear,13.33,16.6,49.7,9.17,359,1687,2046
74,2011-03-15,Spring,2011,3,0,2,1,Misty/Cloudy,13.01,15.91,65.57,12.35,289,1767,2056
75,2011-03-16,Spring,2011,3,0,3,1,Misty/Cloudy,14.97,18.35,77.65,13.61,321,1871,2192
76,2011-03-17,Spring,2011,3,0,4,1,Clear,17.02,20.52,60.29,14.04,424,2320,2744
77,2011-03-18,Spring,2011,3,0,5,1,Clear,22.14,26.35,52.52,15.48,884,2355,3239
78,2011-03-19,Spring,2011,3,0,6,0,Clear,19.37,23.33,37.92,24.67,1424,1693,3117
79,2011-03-20,Spring,2011,3,0,0,0,Clear,13.63,16.29,47.38,13.92,1047,1424,2471
80,2011-03-21,Summer,2011,3,0,1,1,Misty/Cloudy,17.65,20.49,73.74,19.35,401,1676,2077
81,2011-03-22,Summer,2011,3,0,2,1,Clear,18.11,22.03,62.46,15.13,460,2243,2703
82,2011-03-23,Summer,2011,3,0,3,1,Misty/Cloudy,14.23,16.9,83.96,15.7,203,1918,2121
83,2011-03-24,Summer,2011,3,0,4,1,Misty/Cloudy,11.68,13.54,80.58,16.33,166,1699,1865
84,2011-03-25,Summer,2011,3,0,5,1,Clear,10.83,12.82,49.5,15.46,300,1910,2210
85,2011-03-26,Summer,2011,3,0,6,0,Clear,10.9,12.88,39.42,14.04,981,1515,2496
86,2011-03-27,Summer,2011,3,0,0,0,Misty/Cloudy,10.37,12.52,49.39,12.35,472,1221,1693
87,2011-03-28,Summer,2011,3,0,1,1,Clear,10.84,12.88,30.22,14.22,222,1806,2028
88,2011-03-29,Summer,2011,3,0,2,1,Clear,12.4,14.65,31.42,15.21,317,2108,2425
89,2011-03-30,Summer,2011,3,0,3,1,Misty/Cloudy,12.3,14.87,64.67,11.58,168,1368,1536
90,2011-03-31,Summer,2011,3,0,4,1,Light Rain/Snow,11.0,12.88,91.83,14.58,179,1506,1685
91,2011-04-01,Summer,2011,4,0,5,1,Misty/Cloudy,12.3,14.17,68.62,17.33,307,1920,2227
92,2011-04-02,Summer,2011,4,0,6,0,Misty/Cloudy,12.92,15.78,65.38,13.21,898,1354,2252
93,2011-04-03,Summer,2011,4,0,0,0,Clear,15.51,18.94,48.0,12.21,1651,1598,3249
96,2011-04-06,Summer,2011,4,0,3,1,Clear,16.02,19.38,47.08,17.63,413,2395,2808
97,2011-04-07,Summer,2011,4,0,4,1,Clear,17.94,21.68,60.29,10.87,571,2570,3141
98,2011-04-08,Summer,2011,4,0,5,1,Misty/Cloudy,13.77,16.22,83.62,15.21,172,1299,1471
99,2011-04-09,Summer,2011,4,0,6,0,Misty/Cloudy,14.04,17.08,87.75,8.92,879,1576,2455
100,2011-04-10,Summer,2011,4,0,0,0,Misty/Cloudy,17.49,21.34,85.75,9.83,1188,1707,2895
101,2011-04-11,Summer,2011,4,0,1,1,Misty/Cloudy,24.42,28.26,71.7,21.74,855,2493,3348
102,2011-04-12,Summer,2011,4,0,2,1,Misty/Cloudy,20.6,24.65,73.92,18.42,257,1777,2034
103,2011-04-13,Summer,2011,4,0,3,1,Misty/Cloudy,16.91,20.86,81.92,16.79,209,1953,2162
104,2011-04-14,Summer,2011,4,0,4,1,Clear,19.17,23.14,54.04,7.42,529,2738,3267
105,2011-04-15,Summer,2011,4,1,5,0,Clear,18.31,22.1,67.12,15.17,642,2484,3126
106,2011-04-16,Summer,2011,4,0,6,0,Light Rain/Snow,17.66,21.27,88.83,22.83,121,674,795
107,2011-04-17,Summer,2011,4,0,0,0,Clear,18.72,22.28,47.96,20.33,1558,2186,3744
108,2011-04-18,Summer,2011,4,0,1,1,Clear,21.01,25.16,54.25,10.96,669,2760,3429
109,2011-04-19,Summer,2011,4,0,2,1,Misty/Cloudy,20.74,24.46,66.58,10.58,409,2795,3204
110,2011-04-20,Summer,2011,4,0,3,1,Clear,24.4,28.22,61.42,16.21,613,3331,3944
111,2011-04-21,Summer,2011,4,0,4,1,Clear,18.83,22.69,40.71,21.79,745,3444,4189
112,2011-04-22,Summer,2011,4,0,5,1,Misty/Cloudy,13.8,16.1,72.96,14.71,177,1506,1683
113,2011-04-23,Summer,2011,4,0,6,0,Misty/Cloudy,18.86,22.51,88.79,15.46,1462,2574,4036
114,2011-04-24,Summer,2011,4,0,0,0,Misty/Cloudy,23.85,27.59,81.08,12.88,1710,2481,4191
115,2011-04-25,Summer,2011,4,0,1,1,Clear,24.87,28.72,77.67,12.42,773,3300,4073
116,2011-04-26,Summer,2011,4,0,2,1,Clear,25.9,29.7,72.92,21.88,678,3722,4400
117,2011-04-27,Summer,2011,4,0,3,1,Misty/Cloudy,25.42,28.76,83.54,20.92,547,3325,3872
118,2011-04-28,Summer,2011,4,0,4,1,Misty/Cloudy,25.32,28.95,70.08,21.5,569,3489,4058
119,2011-04-29,Summer,2011,4,0,5,1,Clear,20.91,24.87,45.71,16.08,878,3717,4595
120,2011-04-30,Summer,2011,4,0,6,0,Clear,19.37,23.2,50.33,15.75,1965,3347,5312
121,2011-05-01,Summer,2011,5,0,0,0,Misty/Cloudy,18.52,22.41,76.21,7.13,1138,2213,3351
122,2011-05-02,Summer,2011,5,0,1,1,Misty/Cloudy,22.52,26.64,73.0,12.29,847,3554,4401
123,2011-05-03,Summer,2011,5,0,2,1,Misty/Cloudy,25.28,29.1,69.71,22.96,603,3848,4451
124,2011-05-04,Summer,2011,5,0,3,1,Misty/Cloudy,16.98,20.23,73.71,22.04,255,2378,2633
125,2011-05-05,Summer,2011,5,0,4,1,Clear,18.83,22.1,44.42,19.79,614,3819,4433
126,2011-05-06,Summer,2011,5,0,5,1,Clear,19.65,23.71,59.0,15.29,894,3714,4608
127,2011-05-07,Summer,2011,5,0,6,0,Clear,21.32,25.63,54.12,10.75,1612,3102,4714
128,2011-05-08,Summer,2011,5,0,0,0,Clear,21.66,25.95,63.17,5.0,1401,2932,4333
129,2011-05-09,Summer,2011,5,0,1,1,Clear,21.83,26.26,58.88,11.79,664,3698,4362
130,2011-05-10,Summer,2011,5,0,2,1,Clear,21.83,26.14,48.92,7.75,694,4109,4803
131,2011-05-11,Summer,2011,5,0,3,1,Clear,22.24,26.42,63.29,8.08,550,3632,4182
132,2011-05-12,Summer,2011,5,0,4,1,Clear,21.94,26.17,74.75,12.71,695,4169,4864
133,2011-05-13,Summer,2011,5,0,5,1,Misty/Cloudy,21.01,24.72,86.33,12.04,692,3413,4105
134,2011-05-14,Summer,2011,5,0,6,0,Misty/Cloudy,21.35,25.03,92.25,9.04,902,2507,3409
135,2011-05-15,Summer,2011,5,0,0,0,Misty/Cloudy,23.06,26.8,86.71,10.25,1582,2971,4553
136,2011-05-16,Summer,2011,5,0,1,1,Clear,23.68,27.53,78.79,8.5,773,3185,3958
137,2011-05-17,Summer,2011,5,0,2,1,Misty/Cloudy,23.03,26.93,83.79,18.58,678,3445,4123
138,2011-05-18,Summer,2011,5,0,3,1,Misty/Cloudy,22.55,26.36,87.0,13.5,536,3319,3855
139,2011-05-19,Summer,2011,5,0,4,1,Misty/Cloudy,21.76,25.54,82.96,7.25,735,3840,4575
140,2011-05-20,Summer,2011,5,0,5,1,Clear,22.0,26.45,71.96,8.38,909,4008,4917
141,2011-05-21,Summer,2011,5,0,6,0,Clear,24.7,28.6,62.67,8.08,2258,3547,5805
142,2011-05-22,Summer,2011,5,0,0,0,Clear,24.77,28.72,74.96,9.92,1576,3084,4660
143,2011-05-23,Summer,2011,5,0,1,1,Misty/Cloudy,25.9,29.51,81.0,15.67,836,3438,4274
144,2011-05-24,Summer,2011,5,0,2,1,Misty/Cloudy,27.06,30.24,74.08,13.88,659,3833,4492
145,2011-05-25,Summer,2011,5,0,3,1,Clear,27.09,30.78,69.62,10.33,740,4238,4978
146,2011-05-26,Summer,2011,5,0,4,1,Clear,29.04,32.73,67.75,13.38,758,3919,4677
147,2011-05-27,Summer,2011,5,0,5,1,Clear,27.95,31.85,65.38,16.13,871,3808,4679
148,2011-05-28,Summer,2011,5,0,6,0,Clear,26.89,30.62,72.96,15.42,2001,2757,4758
149,2011-05-29,Summer,2011,5,0,0,0,Clear,27.37,30.78,81.88,14.33,2355,2433,4788
150,2011-05-30,Summer,2011,5,1,1,0,Clear,30.07,33.55,68.5,8.79,1549,2549,4098
151,2011-05-31,Summer,2011,5,0,2,1,Clear,31.78,36.27,63.67,7.46,673,3309,3982
152,2011-06-01,Summer,2011,6,0,3,1,Misty/Cloudy,31.33,36.05,67.71,13.88,513,3461,3974
153,2011-06-02,Summer,2011,6,0,4,1,Clear,29.32,32.2,30.5,19.58,736,4232,4968
154,2011-06-03,Summer,2011,6,0,5,1,Clear,25.42,29.36,35.42,16.96,898,4414,5312
155,2011-06-04,Summer,2011,6,0,6,0,Clear,26.04,29.73,45.62,8.25,1869,3473,5342
156,2011-06-05,Summer,2011,6,0,0,0,Misty/Cloudy,26.58,30.84,65.25,9.29,1685,3221,4906
157,2011-06-06,Summer,2011,6,0,1,1,Clear,27.81,31.09,60.0,8.17,673,3875,4548
158,2011-06-07,Summer,2011,6,0,2,1,Clear,29.01,32.8,59.79,12.58,763,4070,4833
159,2011-06-08,Summer,2011,6,0,3,1,Clear,31.81,36.36,62.21,9.17,676,3725,4401
160,2011-06-09,Summer,2011,6,0,4,1,Misty/Cloudy,33.14,37.88,56.83,10.04,563,3352,3915
161,2011-06-10,Summer,2011,6,0,5,1,Clear,30.96,35.16,60.5,9.42,815,3771,4586
162,2011-06-11,Summer,2011,6,0,6,0,Clear,29.72,33.9,65.46,10.37,1729,3237,4966
163,2011-06-12,Summer,2011,6,0,0,0,Clear,28.39,32.17,74.79,10.96,1467,2993,4460
164,2011-06-13,Summer,2011,6,0,1,1,Clear,26.04,30.08,49.46,20.46,863,4157,5020
165,2011-06-14,Summer,2011,6,0,2,1,Clear,24.77,29.58,50.71,18.04,727,4164,4891
166,2011-06-15,Summer,2011,6,0,3,1,Clear,25.69,29.39,47.17,11.25,769,4411,5180
167,2011-06-16,Summer,2011,6,0,4,1,Misty/Cloudy,25.76,29.77,68.83,13.83,545,3222,3767
168,2011-06-17,Summer,2011,6,0,5,1,Clear,26.62,30.02,73.58,9.58,863,3981,4844
169,2011-06-18,Summer,2011,6,0,6,0,Clear,28.56,32.2,67.04,8.0,1807,3312,5119
170,2011-06-19,Summer,2011,6,0,0,0,Misty/Cloudy,28.67,32.29,66.67,6.83,1639,3105,4744
171,2011-06-20,Summer,2011,6,0,1,1,Misty/Cloudy,26.04,29.77,74.62,10.42,699,3311,4010
172,2011-06-21,Fall,2011,6,0,2,1,Misty/Cloudy,27.91,31.88,77.04,11.46,774,4061,4835
173,2011-06-22,Fall,2011,6,0,3,1,Clear,30.07,34.69,70.75,11.54,661,3846,4507
174,2011-06-23,Fall,2011,6,0,4,1,Misty/Cloudy,29.86,34.69,70.33,16.0,746,4044,4790
175,2011-06-24,Fall,2011,6,0,5,1,Clear,29.69,32.83,57.33,14.88,969,4022,4991
176,2011-06-25,Fall,2011,6,0,6,0,Clear,28.49,32.17,48.33,14.04,1782,3420,5202
177,2011-06-26,Fall,2011,6,0,0,0,Clear,27.88,31.88,51.33,6.33,1920,3385,5305
178,2011-06-27,Fall,2011,6,0,1,1,Misty/Cloudy,27.98,31.85,65.83,7.21,854,3854,4708
179,2011-06-28,Fall,2011,6,0,2,1,Clear,30.51,34.63,63.42,9.67,732,3916,4648
180,2011-06-29,Fall,2011,6,0,3,1,Clear,29.86,32.73,49.79,17.54,848,4377,5225
181,2011-06-30,Fall,2011,6,0,4,1,Clear,28.56,31.85,43.42,12.42,1027,4488,5515
182,2011-07-01,Fall,2011,7,0,5,1,Clear,29.62,32.61,39.62,6.87,1246,4116,5362
183,2011-07-02,Fall,2011,7,0,6,0,Clear,30.27,33.37,44.46,7.71,2204,2915,5119
184,2011-07-03,Fall,2011,7,0,0,0,Misty/Cloudy,29.38,33.43,68.25,15.33,2282,2367,4649
185,2011-07-04,Fall,2011,7,1,1,0,Misty/Cloudy,29.79,33.27,63.79,5.46,3065,2978,6043
186,2011-07-05,Fall,2011,7,0,2,1,Clear,30.61,34.82,59.04,8.46,1031,3634,4665
187,2011-07-06,Fall,2011,7,0,3,1,Clear,29.52,34.28,74.33,10.04,784,3845,4629
188,2011-07-07,Fall,2011,7,0,4,1,Clear,30.75,34.34,65.12,10.67,754,3838,4592
189,2011-07-08,Fall,2011,7,0,5,1,Misty/Cloudy,29.08,33.52,75.79,15.08,692,3348,4040
190,2011-07-09,Fall,2011,7,0,6,0,Clear,30.07,33.21,60.92,11.25,1988,3348,5336
191,2011-07-10,Fall,2011,7,0,0,0,Clear,30.65,34.5,57.83,12.29,1743,3138,4881
192,2011-07-11,Fall,2011,7,0,1,1,Clear,31.26,36.49,63.58,18.92,723,3363,4086
193,2011-07-12,Fall,2011,7,0,2,1,Clear,32.56,36.96,55.92,13.42,662,3596,4258
194,2011-07-13,Fall,2011,7,0,3,1,Clear,30.61,34.47,63.17,9.79,748,3594,4342
195,2011-07-14,Fall,2011,7,0,4,1,Clear,27.91,31.76,47.62,16.12,888,4196,5084
196,2011-07-15,Fall,2011,7,0,5,1,Clear,27.2,31.22,59.13,12.25,1318,4220,5538
197,2011-07-16,Fall,2011,7,0,6,0,Clear,28.15,31.91,58.5,13.96,2418,3505,5923
198,2011-07-17,Fall,2011,7,0,0,0,Clear,29.49,33.49,60.42,16.42,2006,3296,5302
199,2011-07-18,Fall,2011,7,0,1,1,Clear,30.61,35.2,65.12,14.46,841,3617,4458
200,2011-07-19,Fall,2011,7,0,2,1,Clear,31.84,37.37,65.04,8.75,752,3789,4541
201,2011-07-20,Fall,2011,7,0,3,1,Clear,31.5,37.34,70.71,7.63,644,3688,4332
202,2011-07-21,Fall,2011,7,0,4,1,Misty/Cloudy,33.42,41.32,69.12,14.88,632,3152,3784
203,2011-07-22,Fall,2011,7,0,5,1,Clear,34.78,42.04,58.04,8.92,562,2825,3387
204,2011-07-23,Fall,2011,7,0,6,0,Clear,34.82,40.21,50.0,8.79,987,2298,3285
205,2011-07-24,Fall,2011,7,0,0,0,Clear,34.03,39.74,55.08,11.33,1050,2556,3606
206,2011-07-25,Fall,2011,7,0,1,1,Clear,30.48,36.05,75.71,6.08,568,3272,3840
207,2011-07-26,Fall,2011,7,0,2,1,Clear,31.64,34.85,54.08,13.42,750,3840,4590
208,2011-07-27,Fall,2011,7,0,3,1,Clear,31.78,34.53,40.29,12.29,755,3901,4656
209,2011-07-28,Fall,2011,7,0,4,1,Clear,31.95,36.99,58.33,11.96,606,3784,4390
210,2011-07-29,Fall,2011,7,0,5,1,Clear,34.37,39.3,54.25,11.67,670,3176,3846
211,2011-07-30,Fall,2011,7,0,6,0,Clear,32.97,36.43,46.58,11.29,1559,2916,4475
212,2011-07-31,Fall,2011,7,0,0,0,Clear,33.04,36.49,48.08,11.04,1524,2778,4302
213,2011-08-01,Fall,2011,8,0,1,1,Clear,31.64,35.16,55.08,10.5,729,3537,4266
214,2011-08-02,Fall,2011,8,0,2,1,Clear,32.12,35.35,49.12,13.79,801,4044,4845
215,2011-08-03,Fall,2011,8,0,3,1,Misty/Cloudy,30.0,34.0,65.75,9.08,467,3107,3574
216,2011-08-04,Fall,2011,8,0,4,1,Misty/Cloudy,29.11,33.24,75.75,13.21,799,3777,4576
217,2011-08-05,Fall,2011,8,0,5,1,Clear,29.14,32.83,63.08,12.37,1023,3843,4866
218,2011-08-06,Fall,2011,8,0,6,0,Misty/Cloudy,29.38,33.81,75.5,15.29,1521,2773,4294
219,2011-08-07,Fall,2011,8,0,0,0,Clear,30.44,35.76,75.29,13.5,1298,2487,3785
220,2011-08-08,Fall,2011,8,0,1,1,Clear,31.36,35.16,59.21,12.88,846,3480,4326
221,2011-08-09,Fall,2011,8,0,2,1,Clear,31.78,36.21,57.04,10.13,907,3695,4602
222,2011-08-10,Fall,2011,8,0,3,1,Clear,31.43,34.25,42.42,13.42,884,3896,4780
223,2011-08-11,Fall,2011,8,0,4,1,Clear,29.42,32.58,42.38,11.04,812,3980,4792
224,2011-08-12,Fall,2011,8,0,5,1,Clear,29.04,32.7,41.5,8.42,1051,3854,4905
225,2011-08-13,Fall,2011,8,0,6,0,Misty/Cloudy,28.12,32.29,72.96,14.17,1504,2646,4150
226,2011-08-14,Fall,2011,8,0,0,0,Misty/Cloudy,27.74,31.22,81.75,14.92,1338,2482,3820
227,2011-08-15,Fall,2011,8,0,1,1,Clear,27.3,30.81,71.21,14.0,775,3563,4338
228,2011-08-16,Fall,2011,8,0,2,1,Clear,28.73,32.29,57.83,15.83,721,4004,4725
229,2011-08-17,Fall,2011,8,0,3,1,Clear,29.66,33.33,57.54,9.63,668,4026,4694
230,2011-08-18,Fall,2011,8,0,4,1,Clear,29.18,33.11,65.46,15.62,639,3166,3805
231,2011-08-19,Fall,2011,8,0,5,1,Misty/Cloudy,28.08,31.66,72.29,9.33,797,3356,4153
232,2011-08-20,Fall,2011,8,0,6,0,Clear,28.6,32.45,67.42,7.0,1914,3277,5191
233,2011-08-21,Fall,2011,8,0,0,0,Clear,29.14,33.78,77.0,16.67,1249,2624,3873
234,2011-08-22,Fall,2011,8,0,1,1,Clear,28.36,31.91,47.0,18.54,833,3925,4758
235,2011-08-23,Fall,2011,8,0,2,1,Clear,26.27,30.3,45.54,9.83,1281,4614,5895
236,2011-08-24,Fall,2011,8,0,3,1,Clear,27.61,31.53,60.5,16.96,949,4181,5130
237,2011-08-25,Fall,2011,8,0,4,1,Misty/Cloudy,28.05,32.29,77.17,14.13,435,3107,3542
238,2011-08-26,Fall,2011,8,0,5,1,Clear,28.7,32.99,76.12,5.63,768,3893,4661
239,2011-08-27,Fall,2011,8,0,6,0,Misty/Cloudy,27.88,31.78,85.0,25.17,226,889,1115
240,2011-08-28,Fall,2011,8,0,0,0,Clear,28.99,32.4,56.18,20.41,1415,2919,4334
241,2011-08-29,Fall,2011,8,0,1,1,Clear,26.1,30.4,55.46,10.71,729,3905,4634
242,2011-08-30,Fall,2011,8,0,2,1,Clear,26.21,29.74,54.83,8.38,775,4429,5204
243,2011-08-31,Fall,2011,8,0,3,1,Clear,26.92,30.56,59.79,5.58,688,4370,5058
244,2011-09-01,Fall,2011,9,0,4,1,Clear,26.86,30.75,63.92,9.5,783,4332,5115
245,2011-09-02,Fall,2011,9,0,5,1,Misty/Cloudy,26.38,30.24,72.71,9.38,875,3852,4727
246,2011-09-03,Fall,2011,9,0,6,0,Clear,27.44,31.66,71.67,12.42,1935,2549,4484
