instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
247,2011-09-04,Fall,2011,9,0,0,0,Clear,29.08,33.27,74.21,13.83,2521,2419,4940
248,2011-09-05,Fall,2011,9,1,1,0,Misty/Cloudy,27.61,31.28,79.04,14.25,1236,2115,3351
249,2011-09-06,Fall,2011,9,0,2,1,Light Rain/Snow,22.14,25.76,88.7,23.04,204,2506,2710
250,2011-09-07,Fall,2011,9,0,3,1,Light Rain/Snow,24.57,27.21,91.71,6.5,118,1878,1996
251,2011-09-08,Fall,2011,9,0,4,1,Light Rain/Snow,25.99,27.77,93.96,12.91,153,1689,1842
252,2011-09-09,Fall,2011,9,0,5,1,Misty/Cloudy,26.65,28.95,89.79,8.33,417,3127,3544
253,2011-09-10,Fall,2011,9,0,6,0,Clear,27.06,30.4,75.38,10.29,1750,3595,5345
254,2011-09-11,Fall,2011,9,0,0,0,Clear,26.79,30.46,71.38,7.71,1633,3413,5046
255,2011-09-12,Fall,2011,9,0,1,1,Clear,26.42,30.11,69.22,5.96,690,4023,4713
256,2011-09-13,Fall,2011,9,0,2,1,Clear,26.68,30.18,71.25,9.5,701,4062,4763
257,2011-09-14,Fall,2011,9,0,3,1,Clear,27.61,31.34,69.71,11.21,647,4138,4785
258,2011-09-15,Fall,2011,9,0,4,1,Misty/Cloudy,23.68,27.68,70.92,18.17,428,3231,3659
259,2011-09-16,Fall,2011,9,0,5,1,Misty/Cloudy,19.24,23.07,59.04,11.0,742,4018,4760
260,2011-09-17,Fall,2011,9,0,6,0,Misty/Cloudy,20.16,23.93,71.83,12.71,1434,3077,4511
261,2011-09-18,Fall,2011,9,0,0,0,Clear,20.81,24.53,69.5,11.96,1353,2921,4274
262,2011-09-19,Fall,2011,9,0,1,1,Misty/Cloudy,22.52,26.48,69.0,10.17,691,3848,4539
263,2011-09-20,Fall,2011,9,0,2,1,Misty/Cloudy,23.03,26.61,88.12,9.04,438,3203,3641
264,2011-09-21,Fall,2011,9,0,3,1,Misty/Cloudy,24.4,27.53,90.0,6.46,539,3813,4352
265,2011-09-22,Fall,2011,9,0,4,1,Misty/Cloudy,25.76,27.75,90.21,8.58,555,4240,4795
266,2011-09-23,Winter,2011,9,0,5,1,Misty/Cloudy,24.98,26.11,97.25,5.25,258,2137,2395
267,2011-09-24,Winter,2011,9,0,6,0,Misty/Cloudy,24.87,28.22,86.25,5.25,1776,3647,5423
268,2011-09-25,Winter,2011,9,0,0,0,Misty/Cloudy,26.0,28.63,84.5,3.38,1544,3466,5010
269,2011-09-26,Winter,2011,9,0,1,1,Misty/Cloudy,26.62,29.45,84.83,7.42,684,3946,4630
270,2011-09-27,Winter,2011,9,0,2,1,Misty/Cloudy,26.1,28.73,88.54,7.92,477,3643,4120
271,2011-09-28,Winter,2011,9,0,3,1,Misty/Cloudy,26.04,28.76,84.88,9.96,480,3427,3907
272,2011-09-29,Winter,2011,9,0,4,1,Clear,25.28,28.73,69.92,11.58,653,4186,4839
273,2011-09-30,Winter,2011,9,0,5,1,Clear,23.13,27.24,64.75,13.83,830,4372,5202
274,2011-10-01,Winter,2011,10,0,6,0,Misty/Cloudy,16.81,20.64,75.38,19.58,480,1949,2429
275,2011-10-02,Winter,2011,10,0,0,0,Misty/Cloudy,14.62,17.27,79.17,14.87,616,2302,2918
276,2011-10-03,Winter,2011,10,0,1,1,Misty/Cloudy,15.75,19.6,76.08,5.58,330,3240,3570
277,2011-10-04,Winter,2011,10,0,2,1,Clear,19.85,23.64,71.0,13.79,486,3970,4456
278,2011-10-05,Winter,2011,10,0,3,1,Clear,22.07,26.36,64.79,11.88,559,4267,4826
279,2011-10-06,Winter,2011,10,0,4,1,Clear,20.26,24.02,62.08,9.04,639,4126,4765
280,2011-10-07,Winter,2011,10,0,5,1,Clear,20.94,25.22,68.42,1.5,949,4036,4985
281,2011-10-08,Winter,2011,10,0,6,0,Clear,21.39,25.66,70.12,3.04,2235,3174,5409
282,2011-10-09,Winter,2011,10,0,0,0,Clear,22.17,26.2,72.75,4.25,2397,3114,5511
283,2011-10-10,Winter,2011,10,1,1,0,Clear,23.4,27.15,73.38,2.83,1514,3603,5117
284,2011-10-11,Winter,2011,10,0,2,1,Misty/Cloudy,23.23,27.3,80.88,9.58,667,3896,4563
285,2011-10-12,Winter,2011,10,0,3,1,Light Rain/Snow,22.28,25.89,90.62,16.63,217,2199,2416
286,2011-10-13,Winter,2011,10,0,4,1,Misty/Cloudy,24.16,27.59,89.67,9.5,290,2623,2913
287,2011-10-14,Winter,2011,10,0,5,1,Misty/Cloudy,22.58,26.48,71.62,15.0,529,3115,3644
288,2011-10-15,Winter,2011,10,0,6,0,Clear,20.77,24.94,48.33,17.29,1899,3318,5217
289,2011-10-16,Winter,2011,10,0,0,0,Clear,20.98,25.16,48.67,18.88,1748,3293,5041
290,2011-10-17,Winter,2011,10,0,1,1,Clear,21.9,25.54,57.96,11.75,713,3857,4570
291,2011-10-18,Winter,2011,10,0,2,1,Misty/Cloudy,21.83,26.14,70.17,7.38,637,4111,4748
292,2011-10-19,Winter,2011,10,0,3,1,Light Rain/Snow,22.21,25.69,89.52,16.3,254,2170,2424
294,2011-10-21,Winter,2011,10,0,5,1,Clear,17.53,21.18,57.42,14.83,676,3628,4304
295,2011-10-22,Winter,2011,10,0,6,0,Clear,17.32,21.27,62.92,6.21,1499,2809,4308
296,2011-10-23,Winter,2011,10,0,0,0,Clear,17.29,21.12,74.12,6.67,1619,2762,4381
297,2011-10-24,Winter,2011,10,0,1,1,Clear,19.0,22.85,77.21,7.96,699,3488,4187
298,2011-10-25,Winter,2011,10,0,2,1,Clear,19.34,23.17,62.29,11.17,695,3992,4687
299,2011-10-26,Winter,2011,10,0,3,1,Misty/Cloudy,19.85,23.64,72.04,9.96,404,3490,3894
300,2011-10-27,Winter,2011,10,0,4,1,Misty/Cloudy,19.27,22.85,81.29,13.25,240,2419,2659
301,2011-10-28,Winter,2011,10,0,5,1,Misty/Cloudy,13.56,15.94,58.58,15.38,456,3291,3747
302,2011-10-29,Winter,2011,10,0,6,0,Light Rain/Snow,10.42,11.4,88.25,23.54,57,570,627
303,2011-10-30,Winter,2011,10,0,0,0,Clear,13.09,16.07,62.38,11.83,885,2446,3331
304,2011-10-31,Winter,2011,10,0,1,1,Clear,13.94,17.8,70.33,7.13,362,3307,3669
305,2011-11-01,Winter,2011,11,0,2,1,Clear,16.43,19.85,68.38,9.08,410,3658,4068
306,2011-11-02,Winter,2011,11,0,3,1,Clear,15.48,19.51,71.88,5.5,370,3816,4186
307,2011-11-03,Winter,2011,11,0,4,1,Clear,16.74,20.3,70.21,9.17,318,3656,3974
308,2011-11-04,Winter,2011,11,0,5,1,Misty/Cloudy,16.54,20.17,62.25,18.21,470,3576,4046
309,2011-11-05,Winter,2011,11,0,6,0,Clear,13.39,16.19,51.92,12.67,1156,2770,3926
310,2011-11-06,Winter,2011,11,0,0,0,Clear,14.28,18.12,73.46,6.17,952,2697,3649
311,2011-11-07,Winter,2011,11,0,1,1,Clear,16.2,20.04,75.88,3.83,373,3662,4035
312,2011-11-08,Winter,2011,11,0,2,1,Clear,16.74,20.61,72.17,4.63,376,3829,4205
313,2011-11-09,Winter,2011,11,0,3,1,Clear,16.4,20.45,75.83,4.17,305,3804,4109
314,2011-11-10,Winter,2011,11,0,4,1,Misty/Cloudy,15.58,18.69,81.33,12.67,190,2743,2933
315,2011-11-11,Winter,2011,11,1,5,0,Clear,13.29,15.34,44.62,21.08,440,2928,3368
316,2011-11-12,Winter,2011,11,0,6,0,Clear,14.62,17.9,55.29,14.21,1275,2792,4067
317,2011-11-13,Winter,2011,11,0,0,0,Clear,18.07,21.53,45.83,18.88,1004,2713,3717
318,2011-11-14,Winter,2011,11,0,1,1,Clear,21.73,26.23,58.71,20.54,595,3891,4486
319,2011-11-15,Winter,2011,11,0,2,1,Misty/Cloudy,21.73,25.38,68.88,13.38,449,3746,4195
320,2011-11-16,Winter,2011,11,0,3,1,Light Rain/Snow,18.72,22.6,93.0,9.17,145,1672,1817
321,2011-11-17,Winter,2011,11,0,4,1,Misty/Cloudy,14.01,16.16,57.58,20.46,139,2914,3053
322,2011-11-18,Winter,2011,11,0,5,1,Clear,11.24,13.64,41.0,11.29,245,3147,3392
323,2011-11-19,Winter,2011,11,0,6,0,Clear,13.5,16.22,50.21,15.04,943,2720,3663
324,2011-11-20,Winter,2011,11,0,0,0,Misty/Cloudy,19.0,22.85,68.46,12.46,787,2733,3520
325,2011-11-21,Winter,2011,11,0,1,1,Light Rain/Snow,18.35,22.25,91.0,9.25,220,2545,2765
326,2011-11-22,Winter,2011,11,0,2,1,Light Rain/Snow,17.08,21.08,96.25,7.96,69,1538,1607
327,2011-11-23,Winter,2011,11,0,3,1,Misty/Cloudy,18.07,21.53,75.79,22.5,112,2454,2566
328,2011-11-24,Winter,2011,11,1,4,0,Clear,15.31,18.62,54.92,11.21,560,935,1495
329,2011-11-25,Winter,2011,11,0,5,1,Clear,15.38,19.03,64.38,6.63,1095,1697,2792
330,2011-11-26,Winter,2011,11,0,6,0,Clear,15.41,19.25,68.17,4.58,1249,1819,3068
331,2011-11-27,Winter,2011,11,0,0,0,Clear,18.83,22.79,69.83,14.0,810,2261,3071
332,2011-11-28,Winter,2011,11,0,1,1,Clear,20.64,24.51,74.3,9.52,253,3614,3867
333,2011-11-29,Winter,2011,11,0,2,1,Misty/Cloudy,18.79,22.57,83.08,17.29,96,2818,2914
334,2011-11-30,Winter,2011,11,0,3,1,Clear,13.32,15.56,61.33,18.17,188,3425,3613
335,2011-12-01,Winter,2011,12,0,4,1,Clear,12.81,15.28,52.46,14.75,182,3545,3727
336,2011-12-02,Winter,2011,12,0,5,1,Clear,12.88,16.57,62.58,6.75,268,3672,3940
337,2011-12-03,Winter,2011,12,0,6,0,Clear,12.27,15.53,61.29,6.42,706,2908,3614
338,2011-12-04,Winter,2011,12,0,0,0,Clear,13.56,17.46,77.58,5.63,634,2851,3485
339,2011-12-05,Winter,2011,12,0,1,1,Misty/Cloudy,15.82,19.7,82.71,4.17,233,3578,3811
340,2011-12-06,Winter,2011,12,0,2,1,Light Rain/Snow,18.96,22.82,94.96,15.58,126,2468,2594
341,2011-12-07,Winter,2011,12,0,3,1,Light Rain/Snow,16.81,20.01,97.04,17.83,50,655,705
342,2011-12-08,Winter,2011,12,0,4,1,Clear,10.9,12.85,58.0,16.08,150,3172,3322
343,2011-12-09,Winter,2011,12,0,5,1,Clear,11.92,15.88,69.58,5.54,261,3359,3620
344,2011-12-10,Winter,2011,12,0,6,0,Clear,11.28,13.32,50.75,15.63,502,2688,3190
345,2011-12-11,Winter,2011,12,0,0,0,Clear,9.05,12.66,49.0,4.46,377,2366,2743
346,2011-12-12,Winter,2011,12,0,1,1,Clear,9.77,13.51,67.08,4.25,143,3167,3310
347,2011-12-13,Winter,2011,12,0,2,1,Clear,11.58,15.06,59.0,9.42,155,3368,3523
348,2011-12-14,Winter,2011,12,0,3,1,Misty/Cloudy,13.02,16.92,66.38,4.08,178,3562,3740
349,2011-12-15,Winter,2011,12,0,4,1,Misty/Cloudy,17.32,20.61,63.42,17.96,181,3528,3709
350,2011-12-16,Winter,2011,12,0,5,1,Misty/Cloudy,15.38,17.99,50.04,17.46,178,3399,3577
351,2011-12-17,Winter,2011,12,0,6,0,Misty/Cloudy,10.59,12.47,56.08,16.29,275,2464,2739
352,2011-12-18,Winter,2011,12,0,0,0,Clear,9.77,12.28,58.63,11.38,220,2211,2431
353,2011-12-19,Winter,2011,12,0,1,1,Clear,11.34,14.05,63.75,11.58,260,3143,3403
354,2011-12-20,Winter,2011,12,0,2,1,Misty/Cloudy,15.82,19.82,59.54,4.13,216,3534,3750
355,2011-12-21,Spring,2011,12,0,3,1,Misty/Cloudy,17.56,21.4,85.83,14.83,107,2553,2660
356,2011-12-22,Spring,2011,12,0,4,1,Misty/Cloudy,17.36,21.31,75.75,3.17,227,2841,3068
357,2011-12-23,Spring,2011,12,0,5,1,Clear,15.31,18.88,68.62,18.37,163,2046,2209
358,2011-12-24,Spring,2011,12,0,6,0,Clear,12.4,14.96,54.25,12.75,155,856,1011
359,2011-12-25,Spring,2011,12,0,0,0,Clear,11.27,14.0,68.13,10.39,303,451,754
360,2011-12-26,Spring,2011,12,1,1,0,Clear,13.19,15.78,50.7,16.04,430,887,1317
361,2011-12-27,Spring,2011,12,0,2,1,Misty/Cloudy,13.32,16.38,76.25,12.63,103,1059,1162
362,2011-12-28,Spring,2011,12,0,3,1,Clear,12.26,14.0,50.39,19.7,255,2047,2302
363,2011-12-29,Spring,2011,12,0,4,1,Clear,10.18,13.19,57.42,8.0,254,2169,2423
364,2011-12-30,Spring,2011,12,0,5,1,Clear,12.78,15.94,63.67,9.0,491,2508,2999
365,2011-12-31,Spring,2011,12,0,6,0,Clear,16.81,20.71,61.58,14.75,665,1820,2485
366,2012-01-01,Spring,2012,1,0,0,0,Clear,15.17,18.78,69.25,12.88,686,1608,2294
367,2012-01-02,Spring,2012,1,1,1,0,Clear,11.19,12.62,38.13,22.09,244,1707,1951
368,2012-01-03,Spring,2012,1,0,2,1,Clear,6.15,6.31,44.12,24.5,89,2147,2236
369,2012-01-04,Spring,2012,1,0,3,1,Misty/Cloudy,4.41,5.97,41.46,12.37,95,2273,2368
370,2012-01-05,Spring,2012,1,0,4,1,Clear,10.9,13.92,52.42,8.71,140,3132,3272
371,2012-01-06,Spring,2012,1,0,5,1,Clear,13.7,17.01,54.21,11.25,307,3791,4098
372,2012-01-07,Spring,2012,1,0,6,0,Clear,16.13,19.54,53.17,11.71,1070,3451,4521
373,2012-01-08,Spring,2012,1,0,0,0,Clear,13.84,17.01,46.5,12.83,599,2826,3425
374,2012-01-09,Spring,2012,1,0,1,1,Misty/Cloudy,9.19,12.37,70.17,6.63,106,2270,2376
375,2012-01-10,Spring,2012,1,0,2,1,Clear,12.66,15.94,64.65,12.57,173,3425,3598
376,2012-01-11,Spring,2012,1,0,3,1,Misty/Cloudy,11.24,14.14,84.75,8.79,92,2085,2177
377,2012-01-12,Spring,2012,1,0,4,1,Misty/Cloudy,15.68,19.1,80.29,12.12,269,3828,4097
378,2012-01-13,Spring,2012,1,0,5,1,Clear,11.24,12.47,50.75,25.33,174,3040,3214
379,2012-01-14,Spring,2012,1,0,6,0,Clear,7.38,9.15,45.75,12.54,333,2160,2493
380,2012-01-15,Spring,2012,1,0,0,0,Clear,6.83,8.08,41.92,16.83,284,2027,2311
381,2012-01-16,Spring,2012,1,1,1,0,Clear,7.79,9.53,52.25,15.5,217,2081,2298
382,2012-01-17,Spring,2012,1,0,2,1,Misty/Cloudy,15.29,18.21,71.61,23.39,127,2808,2935
384,2012-01-19,Spring,2012,1,0,4,1,Clear,7.79,9.5,49.75,14.75,130,3162,3292
385,2012-01-20,Spring,2012,1,0,5,1,Misty/Cloudy,8.92,11.05,45.0,13.58,115,3048,3163
386,2012-01-21,Spring,2012,1,0,6,0,Misty/Cloudy,7.11,8.74,83.12,14.92,67,1234,1301
387,2012-01-22,Spring,2012,1,0,0,0,Misty/Cloudy,6.66,8.11,79.62,13.38,196,1781,1977
388,2012-01-23,Spring,2012,1,0,1,1,Misty/Cloudy,8.95,12.15,91.12,7.42,145,2287,2432
389,2012-01-24,Spring,2012,1,0,2,1,Clear,14.04,17.46,83.58,8.29,439,3900,4339
390,2012-01-25,Spring,2012,1,0,3,1,Clear,12.06,14.74,64.38,10.79,467,3803,4270
391,2012-01-26,Spring,2012,1,0,4,1,Misty/Cloudy,14.01,17.8,76.96,4.92,244,3831,4075
392,2012-01-27,Spring,2012,1,0,5,1,Misty/Cloudy,17.42,20.77,74.12,22.96,269,3187,3456
393,2012-01-28,Spring,2012,1,0,6,0,Clear,12.95,16.32,54.33,14.13,775,3248,4023
394,2012-01-29,Spring,2012,1,0,0,0,Clear,11.58,13.64,31.13,16.08,558,2685,3243
395,2012-01-30,Spring,2012,1,0,1,1,Clear,11.04,13.13,40.08,14.46,126,3498,3624
396,2012-01-31,Spring,2012,1,0,2,1,Clear,15.99,19.07,41.67,17.54,324,4185,4509
397,2012-02-01,Spring,2012,2,0,3,1,Clear,19.24,23.33,50.79,12.67,304,4275,4579
398,2012-02-02,Spring,2012,2,0,4,1,Misty/Cloudy,16.37,19.95,67.29,12.54,190,3571,3761
399,2012-02-03,Spring,2012,2,0,5,1,Clear,12.85,15.47,52.67,11.96,310,3841,4151
400,2012-02-04,Spring,2012,2,0,6,0,Misty/Cloudy,10.83,13.64,77.96,8.17,384,2448,2832
401,2012-02-05,Spring,2012,2,0,0,0,Misty/Cloudy,10.9,13.23,68.79,11.79,318,2629,2947
402,2012-02-06,Spring,2012,2,0,1,1,Clear,11.59,14.82,62.22,10.3,206,3578,3784
403,2012-02-07,Spring,2012,2,0,2,1,Clear,14.52,18.06,49.62,9.87,199,4176,4375
404,2012-02-08,Spring,2012,2,0,3,1,Misty/Cloudy,10.52,13.32,72.29,8.96,109,2693,2802
405,2012-02-09,Spring,2012,2,0,4,1,Clear,10.86,13.1,56.21,13.0,163,3667,3830
406,2012-02-10,Spring,2012,2,0,5,1,Misty/Cloudy,11.51,14.68,54.0,7.83,227,3604,3831
407,2012-02-11,Spring,2012,2,0,6,0,Light Rain/Snow,9.19,10.54,73.12,19.42,192,1977,2169
409,2012-02-13,Spring,2012,2,0,1,1,Clear,9.12,11.4,41.12,11.21,94,3328,3422
410,2012-02-14,Spring,2012,2,0,2,1,Misty/Cloudy,13.09,16.7,50.88,9.46,135,3787,3922
411,2012-02-15,Spring,2012,2,0,3,1,Clear,14.28,17.58,53.12,12.17,141,4028,4169
412,2012-02-16,Spring,2012,2,0,4,1,Misty/Cloudy,12.98,16.51,75.29,6.13,74,2931,3005
413,2012-02-17,Spring,2012,2,0,5,1,Clear,14.08,17.58,63.46,13.79,349,3805,4154
414,2012-02-18,Spring,2012,2,0,6,0,Clear,14.21,17.77,53.46,12.79,1435,2883,4318
415,2012-02-19,Spring,2012,2,0,0,0,Misty/Cloudy,11.48,13.29,51.58,16.96,618,2071,2689
416,2012-02-20,Spring,2012,2,1,1,0,Clear,11.48,13.67,50.78,15.35,502,2627,3129
417,2012-02-21,Spring,2012,2,0,2,1,Clear,11.8,14.76,59.43,13.78,163,3614,3777
418,2012-02-22,Spring,2012,2,0,3,1,Clear,16.23,19.63,56.79,15.71,394,4379,4773
419,2012-02-23,Spring,2012,2,0,4,1,Clear,18.62,22.22,55.46,12.79,516,4546,5062
420,2012-02-24,Spring,2012,2,0,5,1,Misty/Cloudy,16.71,20.55,73.75,15.92,246,3241,3487
422,2012-02-26,Spring,2012,2,0,0,0,Clear,11.45,13.42,41.0,13.75,515,2874,3389
423,2012-02-27,Spring,2012,2,0,1,1,Clear,15.03,17.9,49.08,17.96,253,4069,4322
424,2012-02-28,Spring,2012,2,0,2,1,Clear,14.73,17.68,39.58,12.96,229,4134,4363
425,2012-02-29,Spring,2012,2,0,3,1,Misty/Cloudy,14.12,17.42,80.48,12.0,65,1769,1834
426,2012-03-01,Spring,2012,3,0,4,1,Clear,19.92,23.77,61.54,15.21,325,4665,4990
427,2012-03-02,Spring,2012,3,0,5,1,Misty/Cloudy,14.49,17.99,65.71,9.71,246,2948,3194
428,2012-03-03,Spring,2012,3,0,6,0,Misty/Cloudy,16.98,20.67,62.12,10.79,956,3110,4066
429,2012-03-04,Spring,2012,3,0,0,0,Clear,13.36,15.15,40.33,22.42,710,2713,3423
430,2012-03-05,Spring,2012,3,0,1,1,Clear,9.98,12.06,50.62,15.33,203,3130,3333
431,2012-03-06,Spring,2012,3,0,2,1,Clear,10.59,12.75,45.67,13.46,221,3735,3956
432,2012-03-07,Spring,2012,3,0,3,1,Clear,16.57,19.26,51.33,23.17,432,4484,4916
435,2012-03-10,Spring,2012,3,0,6,0,Clear,11.79,13.89,35.04,15.13,968,3150,4118
436,2012-03-11,Spring,2012,3,0,0,0,Clear,14.83,17.98,47.7,14.91,1658,3253,4911
437,2012-03-12,Spring,2012,3,0,1,1,Clear,19.13,22.98,48.92,13.92,838,4460,5298
438,2012-03-13,Spring,2012,3,0,2,1,Clear,23.16,27.15,61.75,15.88,762,5085,5847
439,2012-03-14,Spring,2012,3,0,3,1,Clear,23.47,27.43,50.71,7.71,997,5315,6312
440,2012-03-15,Spring,2012,3,0,4,1,Clear,22.86,26.64,57.96,10.04,1005,5187,6192
441,2012-03-16,Spring,2012,3,0,5,1,Misty/Cloudy,17.87,21.81,84.21,7.58,548,3830,4378
442,2012-03-17,Spring,2012,3,0,6,0,Misty/Cloudy,21.08,25.25,75.58,7.42,3155,4681,7836
443,2012-03-18,Spring,2012,3,0,0,0,Misty/Cloudy,19.37,23.2,81.0,8.5,2207,3685,5892
444,2012-03-19,Spring,2012,3,0,1,1,Clear,22.35,26.64,72.88,10.88,982,5171,6153
445,2012-03-20,Spring,2012,3,0,2,1,Clear,22.99,26.93,80.79,8.13,1051,5042,6093
446,2012-03-21,Summer,2012,3,0,3,1,Misty/Cloudy,21.8,25.66,82.12,6.0,1122,5108,6230
447,2012-03-22,Summer,2012,3,0,4,1,Clear,22.72,26.58,83.12,7.88,1334,5537,6871
448,2012-03-23,Summer,2012,3,0,5,1,Misty/Cloudy,24.67,28.5,69.42,7.79,2469,5893,8362
449,2012-03-24,Summer,2012,3,0,6,0,Misty/Cloudy,20.6,24.34,88.54,12.92,1033,2339,3372
450,2012-03-25,Summer,2012,3,0,0,0,Misty/Cloudy,17.94,21.87,88.08,14.79,1532,3464,4996
452,2012-03-27,Summer,2012,3,0,2,1,Clear,13.26,15.78,29.0,12.54,531,4571,5102
453,2012-03-28,Summer,2012,3,0,3,1,Clear,19.85,23.55,48.12,19.54,674,5024,5698
454,2012-03-29,Summer,2012,3,0,4,1,Clear,20.26,24.12,43.92,21.42,834,5299,6133
455,2012-03-30,Summer,2012,3,0,5,1,Misty/Cloudy,15.17,18.78,58.08,9.25,796,4663,5459
456,2012-03-31,Summer,2012,3,0,6,0,Misty/Cloudy,17.39,21.09,73.83,16.79,2301,3934,6235
457,2012-04-01,Summer,2012,4,0,0,0,Misty/Cloudy,17.46,20.86,67.62,11.54,2347,3694,6041
458,2012-04-02,Summer,2012,4,0,1,1,Clear,17.79,21.38,50.43,20.91,1208,4728,5936
459,2012-04-03,Summer,2012,4,0,2,1,Clear,19.13,23.07,39.67,6.71,1348,5424,6772
460,2012-04-04,Summer,2012,4,0,3,1,Clear,22.21,26.67,46.96,12.13,1058,5378,6436
461,2012-04-05,Summer,2012,4,0,4,1,Clear,17.84,21.56,37.42,14.71,1192,5265,6457
462,2012-04-06,Summer,2012,4,0,5,1,Clear,16.54,19.54,37.71,20.13,1807,4653,6460
463,2012-04-07,Summer,2012,4,0,6,0,Clear,17.94,21.31,25.42,18.42,3252,3605,6857
464,2012-04-08,Summer,2012,4,0,0,0,Clear,20.5,24.62,27.58,15.58,2230,2939,5169
465,2012-04-09,Summer,2012,4,0,1,1,Clear,20.06,23.83,31.75,24.0,905,4680,5585
466,2012-04-10,Summer,2012,4,0,2,1,Clear,18.31,21.81,43.5,16.71,819,5099,5918
467,2012-04-11,Summer,2012,4,0,3,1,Clear,14.3,16.86,46.96,19.78,482,4380,4862
468,2012-04-12,Summer,2012,4,0,4,1,Clear,16.3,19.38,46.62,19.46,663,4746,5409
469,2012-04-13,Summer,2012,4,0,5,1,Clear,18.14,21.59,40.83,10.42,1252,5146,6398
470,2012-04-14,Summer,2012,4,0,6,0,Clear,20.29,24.4,50.29,12.79,2795,4665,7460
471,2012-04-15,Summer,2012,4,0,0,0,Clear,24.87,28.69,50.79,15.08,2846,4286,7132
472,2012-04-16,Summer,2012,4,1,1,0,Clear,27.23,30.75,56.17,19.08,1198,5172,6370
473,2012-04-17,Summer,2012,4,0,2,1,Clear,24.94,29.92,39.04,18.33,989,5702,6691
474,2012-04-18,Summer,2012,4,0,3,1,Misty/Cloudy,19.0,22.85,56.92,11.25,347,4020,4367
475,2012-04-19,Summer,2012,4,0,4,1,Clear,20.43,24.65,61.25,4.42,846,5719,6565
476,2012-04-20,Summer,2012,4,0,5,1,Clear,21.59,25.79,69.46,10.04,1340,5950,7290
477,2012-04-21,Summer,2012,4,0,6,0,Clear,23.37,27.15,68.29,19.0,2541,4083,6624
478,2012-04-22,Summer,2012,4,0,0,0,Light Rain/Snow,16.26,19.48,83.54,23.08,120,907,1027
479,2012-04-23,Summer,2012,4,0,1,1,Misty/Cloudy,13.19,15.06,76.67,20.33,195,3019,3214
480,2012-04-24,Summer,2012,4,0,2,1,Clear,16.95,20.26,45.42,16.71,518,5115,5633
481,2012-04-25,Summer,2012,4,0,3,1,Clear,19.54,23.52,42.79,7.96,655,5541,6196
482,2012-04-26,Summer,2012,4,0,4,1,Misty/Cloudy,20.43,24.18,75.67,11.83,475,4551,5026
483,2012-04-27,Summer,2012,4,0,5,1,Clear,18.76,22.63,40.08,23.29,1014,5219,6233
484,2012-04-28,Summer,2012,4,0,6,0,Misty/Cloudy,15.44,18.88,48.96,8.71,1120,3100,4220
485,2012-04-29,Summer,2012,4,0,0,0,Clear,18.79,22.51,58.71,7.83,2229,4075,6304
486,2012-04-30,Summer,2012,4,0,1,1,Misty/Cloudy,19.03,22.88,57.0,11.5,665,4907,5572
487,2012-05-01,Summer,2012,5,0,2,1,Misty/Cloudy,25.15,28.85,65.96,10.46,653,5087,5740
488,2012-05-02,Summer,2012,5,0,3,1,Clear,23.13,26.89,79.71,9.25,667,5502,6169
489,2012-05-03,Summer,2012,5,0,4,1,Misty/Cloudy,22.96,26.86,76.83,8.96,764,5657,6421
